살인기수,38,45,48,40,37,49,40
강도,111,113,116,105,124,121,108
강간,869,686,734,719,682,722,898
절도,25466,26239,25671,26061,26098,28156,29266
폭행,25865,19966,20766,20981,21080,22045,26494
